S_ID,Flow_Coef_1,Flow_Coef_2,Flow_Coef_3,Flow_Coef_4,Flow_Coef_5,DISTRICT_ID
312133,1444.863301,-44.423766,121.15667,11.688944,70.697116,3
312133,1711.656309,57.92247,-102.111748,34.425235,149.818522,3
312133,1523.878138,-92.220451,112.034405,42.918274,70.389099,3
312133,1754.498758,84.983468,-99.129849,60.95621,52.209791,3
312133,1277.640976,-15.051984,262.57347,-101.823674,22.367111,3
312133,1840.148664,9.430828,-4.419773,-5.024895,183.374767,3
312133,1642.777116,-105.415709,198.628404,33.794495,84.579936,3
312133,1904.763079,46.457569,-64.928194,61.764488,89.919025,3
312133,1550.636511,-6.094715,238.70375,69.019533,116.331653,3
312133,1550.636511,-6.094715,238.70375,69.019533,116.331653,3
312133,1796.035424,72.15082,-16.487987,22.316635,114.212596,3
312133,1450.514424,-43.248782,181.766799,1.296986,20.212386,3
312133,1849.215415,51.589031,-49.779918,73.031247,74.498104,3
312133,1849.215415,51.589031,-49.779918,73.031247,74.498104,3
312133,1514.562271,-45.100567,169.465008,66.186311,58.098836,3
312133,1774.302542,74.853286,-86.5644,90.581873,107.422102,3
312133,1644.271968,-87.536202,192.259595,22.130474,58.787654,3
312133,1854.705298,17.872148,-89.617238,96.841232,118.160843,3
312133,1451.133705,-53.575074,183.83746,76.926516,10.030099,3
312133,1451.133705,-53.575074,183.83746,76.926516,10.030099,3
312133,1744.456708,107.744618,-76.471917,114.609166,60.540391,3
312133,1744.456708,107.744618,-76.471917,114.609166,60.540391,3
312133,1536.028747,-46.960206,191.347236,67.236453,19.115962,3
312133,1773.125219,109.814806,-90.983177,110.892951,55.532316,3
312133,1717.087089,-104.597219,144.432012,52.409019,42.953743,3
312133,1825.87947,84.817974,-78.998288,70.390745,95.810234,3
312133,1744.469724,-15.861234,71.122465,85.113128,54.712395,3
312133,1793.267802,80.704836,-84.90228,103.211306,73.906291,3
312133,1608.362864,-53.160959,142.779444,78.058713,26.571775,3
312133,1787.965182,100.723991,-79.278414,99.015296,67.110601,3
312133,1648.56094,-13.656779,149.246901,123.673885,-27.010001,3
312133,2008.878638,86.251443,-59.822892,77.03476,3.567532,3
312133,1770.937078,-44.603212,158.959731,32.420944,14.969728,3
312133,2014.44493,60.39987,-8.938905,44.387555,46.225764,3
312133,1637.570505,195.139856,12.840272,-6.179423,25.534347,3
312133,1679.493443,170.524981,-69.265656,-2.276012,-41.257268,3
312133,1744.905461,30.870735,92.55291,145.03243,-62.022707,3
312133,2072.828677,37.392005,-29.086899,78.27054,42.50695,3
312133,1705.449729,35.193217,106.755536,78.642438,-16.45236,3
312133,2115.483772,93.073286,-41.867149,58.655921,6.507487,3
312133,1294.790268,91.484611,148.547017,40.861538,-37.136752,3
312133,1745.357487,151.80146,6.384248,-14.911729,8.452187,3
312133,1312.140656,283.265758,49.992893,28.741975,-37.501761,3
312133,1708.616373,186.463391,-8.245887,6.813467,13.075259,3
312134,1796.258317,67.658011,16.528916,57.421093,-31.657061,3
312134,2148.288803,101.079128,-166.044732,75.879228,12.014307,3
312134,2044.484008,-52.272309,163.597113,29.993718,26.590542,3
312134,2349.026045,51.014182,-124.639397,115.259495,1.954466,3
312134,1870.157933,-9.573303,93.879035,4.777727,13.191007,3
312134,2057.770122,122.477668,-120.081948,39.55194,18.213654,3
312134,2047.750516,-5.026943,107.507876,26.118086,26.053524,3
312134,2147.739463,177.561231,-160.392076,102.531392,17.440318,3
312134,1881.31406,-28.044858,131.967154,50.034387,10.797243,3
312134,2376.669676,-20.3635,-146.273809,-16.842704,208.512782,3
